scene_id,mean_entropy,max_entropy,std_entropy,high_entropy_ratio,n_objects,n_metal,n_rubber,has_metal
46,0.48789647221565247,0.9915140867233276,0.27413618564605713,0.2682358099489796,9,3,7,True
47,0.6932365298271179,0.9998029470443726,0.23114562034606934,0.6029575892857143,7,4,4,True
48,0.5970019698143005,0.9997423887252808,0.26218506693840027,0.41685267857142855,3,1,2,True
49,0.5902003049850464,0.9933214783668518,0.2471238225698471,0.3824936224489796,3,1,2,True
50,0.5872848033905029,0.9767675995826721,0.2622886598110199,0.42313058035714285,6,3,5,True
51,0.5523890852928162,0.9524622559547424,0.23276358842849731,0.3246572066326531,5,1,4,True
52,0.5285723209381104,0.9980717897415161,0.263515830039978,0.3376315369897959,8,4,4,True
53,0.6524653434753418,0.9986594915390015,0.25643470883369446,0.47181919642857145,10,7,3,True
54,0.5860434770584106,0.9996881484985352,0.22756542265415192,0.3670280612244898,8,4,4,True
55,0.5581567287445068,0.9929028749465942,0.276216983795166,0.40318080357142855,10,4,6,True
56,0.6272231340408325,0.9999139904975891,0.22307416796684265,0.42191485969387754,9,3,6,True
57,0.5615934133529663,0.9986096024513245,0.29197242856025696,0.42079878826530615,3,2,1,True
58,0.6100277900695801,0.9997779130935669,0.2324250042438507,0.404476243622449,7,4,3,True
59,0.47696027159690857,0.9631756544113159,0.2773667573928833,0.26193797831632654,7,4,3,True
60,0.556178629398346,0.999464213848114,0.2815088927745819,0.40547273596938777,5,3,2,True
61,0.6191655397415161,0.989498496055603,0.2470274567604065,0.43632413903061223,4,3,1,True
62,0.5459704399108887,0.9993749856948853,0.30206722021102905,0.40555245535714285,3,3,0,True
63,0.49762290716171265,0.9808334112167358,0.26814955472946167,0.29575892857142855,8,4,4,True
64,0.5948106646537781,0.9995274543762207,0.26679033041000366,0.4262794961734694,9,2,7,True
65,0.5444739460945129,0.9994894862174988,0.2767059803009033,0.362484056122449,3,1,2,True
66,0.6309260129928589,0.9999088644981384,0.284291535615921,0.5509805484693877,3,1,2,True
67,0.5974545478820801,0.9994584321975708,0.2785838544368744,0.45529735331632654,3,1,2,True
68,0.648400068283081,0.9941825270652771,0.2545931041240692,0.5250518176020408,3,3,1,True
69,0.6086660623550415,0.9989241361618042,0.24703432619571686,0.44272161989795916,8,4,4,True
70,0.5695959329605103,0.9992532730102539,0.2540988326072693,0.39016661352040816,6,6,0,True
71,0.5352253913879395,0.979113757610321,0.23108196258544922,0.2548030931122449,8,4,4,True
72,0.5524846315383911,0.9997459053993225,0.3066191077232361,0.45772879464285715,4,3,1,True
73,0.5430886745452881,0.9979013204574585,0.2683454751968384,0.35654496173469385,5,1,4,True
74,0.6259075403213501,0.9995816946029663,0.23676450550556183,0.44804288903061223,4,3,1,True
75,0.6012349128723145,0.9997761845588684,0.2641665041446686,0.4305046237244898,8,3,5,True
